movie,year,numberofwords,time,toptenwords
Gypsysrt,1962,16318,142.65mins,"['ll', 're', 'm', 'do', 'mama', 'your', 'herbie', 'but', 'rose', 'if']"
Hatarisrt,1962,12131,150.79mins,"['do', 'him', 'll', 'go', 'come', 'sean', 'are', 'out', 'pockets', 'know']"
InSearchoftheCastawayssrt,1962,9449,94.02mins,"['if', 'there', 'do', 'll', 'come', 'father', 'let', 'your', 'now', 'go']"
LawrenceofArabiasrt,1962,12042,223.29mins,"['are', 'they', 'do', 'yes', 'will', 'aurens', 'your', 'with', 'but', 'lawrence']"
MutinyOnTheBountysrt,1962,14330,168.70mins,"['mr', 'll', 'your', 'with', 'him', 'they', 'if', 'aye', 'are', 're']"
ThatTouchofMinksrt,1962,10466,98.71mins,"['ll', 'm', 'there', 'your', 'do', 'him', 've', 'if', 'just', 'go']"
TheLongestDaysrt,1962,9884,173.99mins,"['re', 'they', 'up', 'are', 'there', 'but', 'with', 'right', 'at', 'go']"
TheMusicMansrt,1962,14175,151.13mins,"['with', 'your', 'but', 'll', 'now', 'there', 'do', 'if', 'just', 'm']"
ToKillAMockingbirdsrt,1962,8717,128.80mins,"['come', 'mr', 'there', 'do', 'go', 'him', 'his', 'with', 'now', 'your']"
ByeByeBirdiesrt,1963,10754,111.71mins,"['re', 'one', 'll', 'your', 'do', 'with', 'm', 'but', 'now', 'birdie']"
Charadesrt,1963,11291,113.41mins,"['m', 'do', 'know', 'lampert', 're', 'but', 'there', 'your', 'mrs', 'him']"
Cleopatrasrt,1963,9380,110.60mins,"['caesar', 'your', 'rome', 'will', 'as', 'are', 'they', 'his', 'him', 'one']"
ComeBlowYourHornsrt,1963,14035,111.29mins,"['alan', 'm', 'll', 're', 'do', 'just', 'your', 'know', 'now', 'right']"
HowtheWestWasWonsrt,1963,12770,160.25mins,"['there', 'll', 'now', 'they', 'your', 'but', 'just', 'with', 'got', 'ain']"
IrmaLaDoucesrt,1963,12706,137.11mins,"['re', 'with', 'm', 'they', 'there', 'your', 'do', 'here', 'know', 'but']"
ItsAMadMadMadMadWorldsrt,1963,16238,157.80mins,"['there', 'll', 're', 'here', 'do', 'out', 'are', 'm', 'right', 'got']"
LiliesoftheFieldsrt,1963,5749,90.71mins,"['amen', 'schmidt', 'good', 'but', 'they', 'do', 'up', 'm', 'got', 'are']"
MoveOverDarlingsrt,1963,11548,103.35mins,"['your', 'uh', 'arden', 'here', 'do', 'just', 'know', 'm', 'ellen', 'll']"
SonofFlubbersrt,1963,13756,102.06mins,"['just', 'your', 'now', 'but', 'here', 'do', 'with', 'know', 'there', 'as']"
TheGreatEscapesrt,1963,10423,172.21mins,"['out', 'right', 'll', 're', 'do', 'are', 'here', 'your', 'up', 'danny']"
TomJonessrt,1963,11028,122.76mins,"['your', 'tom', 'mr', 'him', 'sophie', 'with', 'but', 'come', 'll', 'are']"
AHardDaysNightsrt,1964,11599,87.24mins,"['love', 're', 'll', 'your', 'm', 'yeah', 'right', 'they', 'with', 've']"
AShotInTheDarksrt,1964,8019,101.30mins,"['yes', 'now', 'do', 'monsieur', 'are', 'maria', 'clouseau', 'but', 'with', 'ballon']"
Becketsrt,1964,12966,140.90mins,"['your', 'but', 'will', 'lord', 'his', 'm', 'are', 'do', 'with', 'thomas']"
DrStrangelovesrt,1964,9729,92.98mins,"['m', 'they', 'are', 'do', 'with', 'at', 'one', 're', 'will', 'general']"
FromRussiaWithLovesrt,1964,6663,113.34mins,"['ll', 'will', 'your', 'here', 'there', 'are', 'yes', 'one', 'with', 'but']"
Goldfingersrt,1964,5883,108.53mins,"['mr', 'your', 'll', 'bond', 'goldfinger', 'here', 'are', 'm', 'gold', 'do']"
MaryPoppinssrt,1964,11980,138.93mins,"['your', 'time', 'go', 'ha', 'with', 'mary', 'chim', 'up', 'they', 're']"
MyFairLadysrt,1964,18223,169.82mins,"['your', 'll', 'do', 'with', 'if', 'm', 'are', 'but', 'as', 'l']"
TheCarpetbaggerssrt,1964,16939,149.94mins,"['jonas', 'your', 'do', 'll', 'know', 're', 'm', 'with', 'now', 'cord']"
ThePinkPanthersrt,1964,9555,114.52mins,"['your', 'darling', 'm', 'yes', 'but', 'know', 'charles', 're', 'are', 'there']"
TheUnsinkableMollyBrownsrt,1964,10074,129.35mins,"['ll', 're', 'm', 'here', 'up', 'ain', 'with', 'your', 'say', 'molly']"
WhatAWaytoGosrt,1964,11752,110.14mins,"['uh', 'll', 'hop', 'just', 'but', 'm', 'your', 'louisa', 'there', 'here']"
