movie,year,numberofwords,time,toptenwords
PoliceAcademysrt,1984,6744,92.87mins,"['here', 'out', 'mahoney', 'do', 'right', 'go', 're', 'm', 'move', 'your']"
RomancingtheStonesrt,1984,5634,105.72mins,"['re', 'm', 'do', 'are', 'your', 'here', 'got', 'know', 'they', 'where']"
Splashsrt,1984,8542,108.88mins,"['are', 'm', 're', 'do', 'here', 'with', 'know', 'love', 'come', 'your']"
StarTrekTheSearchForSpocksrt,1984,5661,98.89mins,"['your', 'genesis', 'are', 'll', 'there', 're', 'how', 'do', 'one', 'with']"
TheKarateKidsrt,1984,8474,122.94mins,"['do', 'come', 'got', 'up', 'go', 'are', 'm', 'here', 're', 'daniel']"
TheKillingFieldssrt,1984,6055,135.84mins,"['they', 'here', 'm', 'right', 'do', 'out', 'know', 'there', 'got', 'want']"
ARoomwithaViewsrt,1985,10889,112.84mins,"['do', 'mr', 'so', 'miss', 'go', 'but', 'lucy', 'at', 'if', 'as']"
BackToTheFuturesrt,1985,9831,111.64mins,"['your', 'm', 'go', 're', 'right', 'doc', 'marty', 'going', 'know', 'with']"
Cocoonsrt,1985,7830,111.71mins,"['re', 'm', 'come', 'go', 'your', 'do', 'right', 'are', 'here', 'know']"
KissOfTheSpiderWomansrt,1985,8917,116.54mins,"['m', 'your', 'so', 'but', 'with', 'about', 'do', 'they', 'are', 'one']"
OutOfAfricasrt,1985,9790,157.91mins,"['do', 'they', 'with', 'there', 'but', 'are', 've', 'would', 'will', 'think']"
PrizzisHonorsrt,1985,9875,126.97mins,"['charley', 'out', 're', 'do', 'your', 'with', 'gonna', 'know', 'him', 'how']"
Rambosrt,1985,2922,92.57mins,"['your', 're', 'are', 'do', 'rambo', 'll', 'here', 'war', 'go', 'up']"
RockyIVsrt,1985,8443,90.93mins,"['re', 'there', 'do', 'out', 'know', 'him', 'rocky', 'now', 'but', 'fight']"
SpiesLikeUssrt,1985,6506,96.43mins,"['are', 're', 'do', 'they', 'here', 'your', 'm', 'go', 'our', 'll']"
TheColorPurplesrt,1985,8319,143.78mins,"['l', 'your', 'got', 'celie', 'do', 'with', 'ain', 'now', 'm', 'here']"
TheGooniessrt,1985,9382,113.90mins,"['here', 're', 'guys', 'your', 'there', 'up', 'm', 'out', 'go', 'come']"
TheJeweloftheNilesrt,1985,6343,105.88mins,"['your', 'are', 'm', 'jewel', 'with', 'll', 'jack', 'come', 'will', 'do']"
Witnesssrt,1985,5012,108.37mins,"['do', 'your', 'they', 're', 'him', 'man', 'john', 'going', 'know', 'right']"
Alienssrt,1986,10371,154.39mins,"['right', 're', 'there', 'go', 'here', 'come', 'they', 'out', 'man', 'hudson']"
BackToSchoolsrt,1986,10544,96.47mins,"['m', 'melon', 're', 'do', 'your', 'are', 'just', 'll', 'here', 'come']"
ChildrenofaLesserGodsrt,1986,3522,56.29mins,"['rang', 'sarah', 'your', 'ba', 'boom', 'm', 'good', 'here', 'll', 'are']"
CrocodileDundeesrt,1986,6236,93.36mins,"['mick', 'here', 're', 'right', 'just', 'm', 'there', 'yeah', 'out', 'uh']"
FerrisBuellersDayOffsrt,1986,8372,102.70mins,"['m', 'ferris', 'your', 'll', 'do', 're', 'go', 'cameron', 'know', 'come']"
HannahAndHerSisterssrt,1986,14125,99.29mins,"['l', 'm', 'know', 'lt', 'with', 'but', 'so', 'are', 're', 'do']"
Platoonsrt,1986,10198,119.79mins,"['man', 'here', 'up', 'got', 're', 'out', 'they', 'fucking', 'shit', 'there']"
RuthlessPeoplesrt,1986,8636,86.27mins,"['do', 'your', 're', 'they', 'stone', 'm', 'right', 'here', 'll', 'sam']"
StarTrekTheVoyageHomesrt,1986,10061,114.82mins,"['l', 'are', 'admiral', 're', 'they', 'your', 'whales', 'do', 'lt', 'with']"
TheGoldenChildsrt,1986,5560,93.25mins,"['your', 'm', 'with', 'do', 'him', 'here', 'are', 'll', 'there', 'one']"
TheKarateKidPartIIsrt,1986,6305,108.63mins,"['come', 'miyagi', 'go', 'know', 'daniel', 'san', 'here', 'do', 'your', 'hey']"
TheMissionsrt,1986,3851,120.82mins,"['your', 'they', 'do', 'there', 'but', 'will', 'are', 'them', 'here', 'yes']"
TopGunsrt,1986,6889,104.44mins,"['got', 're', 'your', 'm', 'him', 've', 'there', 'right', 'are', 'with']"
BeverlyHillsCopIIsrt,1987,10732,102.87mins,"['m', 'your', 'here', 're', 'there', 'are', 'got', 'go', 'out', 'do']"
BroadcastNewssrt,1987,12032,132.32mins,"['m', 'll', 're', 'just', 'they', 'good', 'do', 'so', 'at', 'tom']"
FatalAttractionsrt,1987,8952,113.03mins,"['m', 're', 'know', 'okay', 'are', 'do', 'good', 'just', 'with', 'got']"
GoodMorningVietnamsrt,1987,16683,113.50mins,"['right', 're', 'here', 'your', 'm', 'do', 'know', 'now', 'with', 'hey']"
HopeAndGlorysrt,1987,8258,111.15mins,"['come', 'they', 'your', 'now', 'up', 'go', 're', 'there', 'do', 'are']"
LethalWeaponsrt,1987,7279,106.71mins,"['your', 'm', 're', 'do', 'know', 'got', 'him', 'll', 'out', 'come']"
Moonstrucksrt,1987,8267,97.86mins,"['do', 'm', 'your', 'know', 'right', 'johnny', 'come', 'are', 'll', 're']"
Stakeoutsrt,1987,9897,112.19mins,"['m', 'yeah', 'uh', 're', 'right', 'know', 'do', 'out', 'are', 'your']"
TheLastEmperorsrt,1987,7148,159.10mins,"['your', 'majesty', 'are', 'emperor', 'do', 'will', 'they', 'has', 'his', 'am']"
TheSecretofMySuccesssrt,1987,10750,106.49mins,"['m', 're', 'do', 'are', 'here', 'your', 'out', 'with', 'know', 'brantley']"
TheUntouchablessrt,1987,7579,115.48mins,"['do', 'are', 'your', 'here', 're', 'want', 'm', 'got', 'yes', 'mr']"
TheWitchesOfEastwicksrt,1987,7378,114.29mins,"['do', 'are', 'just', 're', 'know', 'they', 'm', 'with', 'your', 'let']"
ThreeMenandaBabysrt,1987,13071,98.19mins,"['yeah', 'uh', 'know', 'baby', 'right', 'do', 'boys', 'here', 're', 'so']"
AFishCalledWandasrt,1988,8639,100.40mins,"['m', 'are', 'so', 'ok', 'do', 'where', 'your', 'ken', 're', 'yes']"
Bigsrt,1988,12304,126.84mins,"['do', 'm', 'yeah', 'right', 'your', 'just', 'come', 'know', 'll', 'are']"
Cocktail_Engsrt,1988,8662,99.95mins,"['your', 'with', 'are', 'm', 'do', 'll', 'there', 'here', 'come', 'out']"
ComingToAmericasrt,1988,8594,116.70mins,"['your', 'are', 'do', 'm', 're', 'but', 'here', 'akeem', 'with', 'want']"
CrocodileDundeeIIsrt,1988,6020,107.32mins,"['mick', 'yeah', 'here', 'know', 'do', 'there', 're', 'your', 'are', 'just']"
DangerousLiaisonssrt,1988,9438,114.39mins,"['do', 'your', 'so', 'but', 'think', 'are', 'with', 'as', 'if', 'see']"
DieHardsrt,1988,9073,132.08mins,"['re', 'they', 'm', 'are', 'here', 'your', 'do', 'got', 'll', 'up']"
MississippiBurningsrt,1988,8444,122.02mins,"['they', 're', 'here', 'your', 'do', 'know', 'up', 'are', 'll', 'just']"
RainMansrt,1988,14286,129.31mins,"['yeah', 'm', 'know', 're', 'ray', 'your', 'there', 'just', 'with', 'do']"
RamboIIIsrt,1988,3436,92.09mins,"['are', 'do', 'go', 'here', 'there', 'they', 'your', 're', 'john', 'come']"
TheAccidentalTouristsrt,1988,9357,117.26mins,"['macon', 'do', 'just', 'm', 'your', 'with', 'but', 'know', 'think', 'so']"
Twinssrt,1988,9950,104.69mins,"['re', 'm', 'your', 'yeah', 'know', 'do', 'here', 'just', 'right', 'look']"
WhoFramedRogerRabbitsrt,1988,8619,97.00mins,"['do', 'eddie', 'm', 'out', 'here', 'got', 'come', 're', 'yeah', 'your']"
WorkingGirlsrt,1988,9987,110.08mins,"['m', 'tess', 're', 'just', 'your', 'so', 'do', 'at', 'with', 'are']"
BackToTheFuturePartIIsrt,1989,9847,98.73mins,"['marty', 'doc', 'biff', 'your', 'right', 're', 'll', 'here', 'm', 'are']"
Batmansrt,1989,7014,117.45mins,"['joker', 'm', 'vlckl', 'knox', 'batman', 'with', 'are', 're', 'do', 'let']"
BornOnTheFourthOfJulysrt,1989,7019,68.26mins,"['go', 'out', 'got', 're', 'they', 'ronnie', 'up', 'there', 'right', 'm']"
DeadPoetsSocietysrt,1989,12039,125.17mins,"['your', 'mr', 're', 'do', 'are', 'neil', 'but', 'know', 'm', 'come']"
DrivingMissDaisysrt,1989,7859,95.37mins,"['know', 'miss', 'go', 'here', 'are', 'do', 'right', 'your', 'm', 'daisy']"
FieldOfDreamssrt,1989,8949,101.47mins,"['m', 'do', 'they', 'come', 're', 'if', 'so', 'him', 'right', 'know']"
GhostbustersIIsrt,1989,12893,106.37mins,"['re', 'your', 'do', 'right', 'there', 'know', 'm', 'yeah', 'got', 'here']"
HoneyIShrunktheKidssrt,1989,6947,89.76mins,"['dad', 'nick', 're', 'your', 'll', 'know', 'here', 'if', 'up', 'come']"
IndianaJonesandtheLastCrusadesrt,1989,7281,120.07mins,"['dad', 'your', 'indy', 'here', 'grail', 'are', 'jones', 'but', 'do', 're']"
LethalWeapon2srt,1989,8561,114.38mins,"['l', 'm', 're', 'll', 'your', 'do', 'go', 'riggs', 'here', 'are']"
LookWhosTalkingsrt,1989,7831,91.95mins,"['m', 'do', 'your', 're', 'll', 'are', 'mikey', 'here', 'look', 'with']"
MyLeftFootsrt,1989,5981,100.18mins,"['christy', 'your', 'go', 'do', 'there', 'now', 'come', 'with', 'm', 'll']"
TheLittleMermaidsrt,1989,6874,77.81mins,"['ariel', 'your', 'got', 'just', 'll', 'they', 'do', 'know', 'sea', 'now']"
Awakeningssrt,1990,7990,117.37mins,"['they', 'm', 'are', 're', 'leonard', 'know', 'do', 'there', 'go', 'right']"
BackToPartIIIsrt,1990,8961,106.64mins,"['ll', 'doc', 'back', 'm', 'here', 'up', 're', 'time', 'right', 'do']"
DancesWithWolvessrt,1990,8456,230.68mins,"['are', 'will', 'they', 'with', 'there', 'here', 'but', 'him', 'been', 'know']"
DieHard2srt,1990,10226,115.22mins,"['l', 're', 'your', 'here', 'they', 'out', 'are', 'got', 'there', 'right']"
Ghostsrt,1990,10179,121.89mins,"['just', 'm', 'do', 're', 'sam', 'molly', 'are', 'know', 'here', 'right']"
Goodfellassrt,1990,19864,145.24mins,"['got', 'do', 'him', 'm', 'they', 'go', 'fucking', 'out', 'with', 're']"
HomeAlonesrt,1990,7152,98.93mins,"['m', 're', 'are', 'do', 'here', 'll', 'your', 'up', 'there', 'know']"
KindergartenCopsrt,1990,9368,106.39mins,"['m', 'your', 're', 'are', 'do', 'll', 'good', 'going', 'dominic', 'know']"
PresumedInnocentsrt,1990,12749,126.61mins,"['with', 'mr', 'they', 'your', 'do', 'if', 'from', 're', 'him', 'sabich']"
PrettyWomansrt,1990,13424,119.46mins,"['m', 'do', 're', 'know', 'your', 'with', 'yeah', 'here', 'just', 'right']"
TeenageMutantNinjaTurtlessrt,1990,5833,87.51mins,"['do', 'are', 'here', 're', 'just', 'know', 'your', 'one', 'with', 'but']"
TheGodfatherPartIIIsrt,1990,9029,150.49mins,"['your', 'do', 'with', 'him', 'are', 'll', 'know', 'corleone', 'm', 'but']"
TotalRecallsrt,1990,7062,109.51mins,"['your', 're', 'm', 'do', 'quaid', 'mars', 'are', 'got', 'll', 'out']"
BeautyAndTheBeastsrt,1991,8373,83.60mins,"['ll', 'as', 'there', 'but', 'your', 'm', 'here', 'belle', 'gaston', 'beast']"
Bugsysrt,1991,10583,130.48mins,"['m', 'do', 'll', 'with', 've', 're', 'your', 'want', 'are', 'got']"
CapeFearsrt,1991,11381,123.25mins,"['know', 'm', 'your', 'do', 're', 'just', 'out', 'about', 'him', 'here']"
Hooksrt,1991,9409,135.18mins,"['peter', 'your', 'are', 'pan', 'jack', 'do', 'hook', 'm', 're', 'll']"
HotShotssrt,1991,6839,81.19mins,"['your', 'm', 'topper', 're', 'are', 'out', 've', 'do', 'll', 'got']"
JFKsrt,1991,24599,198.83mins,"['they', 'him', 'oswald', 'there', 'with', 'one', 'at', 'his', 'kennedy', 'out']"
RobinHoodPrinceofThievessrt,1991,9347,150.12mins,"['your', 'him', 'robin', 'are', 'do', 'will', 'with', 'm', 'who', 'come']"
Terminator2JudgementDaysrt,1991,6054,148.53mins,"['here', 'go', 'your', 'know', 'now', 'are', 're', 'up', 'come', 'do']"
TheAddamsFamilysrt,1991,6188,94.99mins,"['fester', 'hey', 'your', 're', 'm', 'addams', 'they', 'gordon', 'but', 'mother']"
TheNakedGunTheSmellofFearsrt,1991,7411,84.74mins,"['m', 'frank', 'll', 'your', 're', 'here', 'about', 'but', 'right', 'just']"
ThePrinceofTidessrt,1991,15014,127.04mins,"['m', 'do', 'your', 're', 'know', 'come', 'tom', 'about', 'why', 'now']"
TheSilenceoftheLambssrt,1991,8683,112.95mins,"['your', 'him', 'starling', 'now', 'do', 'here', 'with', 're', 'clarice', 'there']"
AFewGoodMensrt,1992,18018,134.04mins,"['m', 'your', 'santiago', 'do', 're', 'with', 'did', 'at', 'they', 'gonna']"
Aladdinsrt,1992,8216,85.45mins,"['your', 'm', 'here', 'prince', 're', 'do', 'so', 'just', 'but', 'are']"
BasicInstinctsrt,1992,8854,122.47mins,"['with', 'about', 'know', 'do', 'did', 'your', 'm', 'him', 'how', 'got']"
BatmanReturnssrt,1992,6151,120.37mins,"['your', 'but', 'm', 'll', 're', 'with', 'just', 'gotham', 'who', 'are']"
BramStokersDraculasrt,1992,6657,119.37mins,"['your', 'are', 'him', 'with', 'lucy', 'am', 'blood', 'will', 'here', 'do']"
HoneAlone2srt,1992,8110,120.00mins,"['m', 'your', 'christmas', 'do', 'here', 'kevin', 're', 'up', 'they', 'with']"
HowardsEndsrt,1992,15407,138.76mins,"['yes', 'do', 'but', 'your', 'are', 'there', 'm', 'so', 'with', 'at']"
LethalWeapon3srt,1992,12472,116.01mins,"['m', 're', 'do', 'are', 'here', 'your', 'right', 'got', 'll', 'out']"
ScentOfAWomansrt,1992,13581,152.98mins,"['m', 'charlie', 'your', 're', 'do', 'here', 'are', 'right', 'colonel', 'with']"
SisterActsrt,1992,9287,92.92mins,"['m', 'do', 'here', 'are', 're', 'out', 'just', 'go', 'mary', 'they']"
TheBodyguardsrt,1992,7502,0.10mins,"['m', 'know', 're', 'do', 'll', 'so', 'here', 'want', 'your', 'how']"
TheCryingGamesrt,1992,7771,111.92mins,"['do', 'know', 'dil', 'him', 'm', 're', 'your', 'jimmy', 'there', 'go']"
Unforgivensrt,1992,8556,123.97mins,"['ain', 'him', 'll', 'them', 'your', 'they', 'got', 'out', 'if', 'up']"
WaynesWorldsrt,1992,8006,94.26mins,"['wayne', 're', 'ok', 'm', 'do', 'your', 'go', 'know', 'with', 'right']"
Cliffhangersrt,1993,7006,104.98mins,"['re', 'm', 'up', 'there', 'come', 'out', 'do', 'your', 'got', 'over']"
InTheNameOfTheFathersrt,1993,12701,127.14mins,"['your', 'are', 'they', 'fucking', 'do', 'out', 'm', 'gerry', 'll', 'right']"
IndecentProposalsrt,1993,6696,111.44mins,"['do', 'just', 'd', 'your', 'think', 're', 'm', 'go', 'with', 'about']"
JurassicParksrt,1993,8366,115.28mins,"['they', 're', 'are', 'll', 'your', 'look', 'm', 'at', 'there', 'here']"
MrsDoubtfiresrt,1993,12420,120.91mins,"['m', 'dear', 'your', 'do', 'll', 'with', 'right', 're', 'just', 'are']"
Philadelphiasrt,1993,7427,120.31mins,"['your', 'do', 'are', 'm', 'beckett', 'with', 'they', 'mr', 're', 'did']"
SchindlersListsrt,1993,15175,185.23mins,"['they', 'are', 'know', 'do', 're', 've', 'm', 'there', 'good', 'here']"
SleeplessinSeattlesrt,1993,11359,101.13mins,"['m', 'your', 'do', 'just', 'about', 'know', 're', 'how', 'with', 'so']"
TheFirmsrt,1993,13484,151.12mins,"['your', 'do', 'they', 'm', 'know', 'with', 'just', 'are', 're', 'here']"
TheFugitivesrt,1993,7929,125.78mins,"['here', 'kimble', 'him', 'your', 'do', 're', 'richard', 'got', 'there', 'out']"
ThePelicanBriefsrt,1993,9547,136.77mins,"['ll', 'your', 'they', 'know', 'm', 'there', 'with', 'about', 'if', 'but']"
TheRemainsoftheDaysrt,1993,11576,124.96mins,"['m', 'your', 'good', 'are', 'mr', 'do', 'at', 'very', 'but', 'there']"
ClearAndPresentDangersrt,1994,8186,135.99mins,"['do', 'your', 're', 'are', 'know', 'here', 'they', 'his', 'm', 'with']"
DumbAndDumbersrt,1994,10796,112.36mins,"['yeah', 're', 'm', 'go', 'know', 'just', 'lloyd', 'do', 'okay', 'll']"
ForrestGumpsrt,1994,11845,133.95mins,"['forrest', 'just', 'gump', 'so', 'got', 'but', 'there', 'are', 'here', 'out']"
FourWeddingsandaFuneralsrt,1994,10885,117.68mins,"['do', 'think', 'just', 'know', 'are', 'm', 'love', 'with', 'right', 'charles']"
InterviewwiththeVampiresrt,1994,7080,122.22mins,"['do', 'but', 'are', 'your', 'as', 'now', 'one', 'with', 'so', 'him']"
PulpFictionsrt,1994,17648,149.20mins,"['m', 'your', 'do', 'fucking', 're', 'know', 'man', 'they', 'now', 'right']"
QuizShowsrt,1994,20144,132.31mins,"['m', 'know', 'do', 'with', 'just', 're', 'they', 'your', 'van', 'doren']"
Speedsrt,1994,9115,115.87mins,"['jack', 'do', 'right', 're', 'ok', 'bus', 'here', 'just', 'come', 'go']"
TheFlintstonessrt,1994,9203,90.12mins,"['fred', 'your', 'll', 're', 'm', 'flintstone', 'do', 'bamm', 'yeah', 'with']"
TheLionKingsrt,1994,7313,88.02mins,"['simba', 'king', 'are', 'your', 'm', 'do', 're', 'but', 'so', 'there']"
TheMasksrt,1994,5771,101.01mins,"['do', 'll', 'm', 'your', 'here', 'are', 'come', 'up', 'know', 're']"
ThePostmansrt,1994,6711,104.28mins,"['but', 'your', 'll', 'with', 'as', 'are', 'do', 'mario', 'm', 'if']"
TheShawshankRedemptionsrt,1994,13404,137.75mins,"['your', 'here', 'andy', 'up', 'do', 'him', 'm', 'they', 'out', 'his']"
TrueLiessrt,1994,9505,140.76mins,"['harry', 'm', 'do', 'your', 'just', 'got', 're', 'go', 'out', 'are']"
Apollo13srt,1995,15501,133.99mins,"['re', 'up', 'they', 'houston', 'are', 'one', 'm', 'do', 'there', 'at']"
Babesrt,1995,7402,89.41mins,"['pig', 'do', 'babe', 'll', 'but', 'sheep', 'they', 'are', 'hoggett', 'there']"
BatmanForeversrt,1995,6562,117.02mins,"['your', 'm', 'll', 'are', 'one', 'batman', 'two', 'but', 're', 'him']"
Braveheartsrt,1995,7532,170.59mins,"['your', 'will', 'with', 'are', 'wallace', 'do', 'his', 'll', 'william', 'but']"
Caspersrt,1995,6972,95.50mins,"['music', 'm', 'instrumental', 're', 'casper', 'just', 'so', 'are', 'know', 'your']"
DieHardwithaVengeancesrt,1995,14091,115.86mins,"['go', 'there', 'right', 'yeah', 'here', 're', 'up', 'got', 'do', 'with']"
GoldenEyesrt,1995,6036,126.11mins,"['your', 'with', 'do', 'james', 'one', 'm', 'are', 'out', 'who', 'yes']"
Jumanjisrt,1995,6629,98.04mins,"['your', 're', 'are', 'm', 'here', 'there', 'alan', 'do', 'game', 'okay']"
Pocahontassrt,1995,6673,74.40mins,"['they', 'll', 'are', 'your', 'right', 'but', 'with', 'here', 'him', 'there']"
SenseandSensibilitysrt,1995,9402,126.38mins,"['do', 'your', 'will', 'are', 'but', 'him', 'miss', 'his', 'with', 'must']"
Sevensrt,1995,9124,121.85mins,"['ll', 'his', 'out', 'him', 're', 'here', 'got', 'know', 'your', 'do']"
ToyStorysrt,1995,8592,79.04mins,"['buzz', 're', 'woody', 'are', 'hey', 'come', 'there', 'm', 'here', 'got']"
Waterworldsrt,1995,7173,124.62mins,"['re', 'helen', 'there', 'here', 'your', 'enola', 'know', 'if', 'll', 'go']"
101Dalmatianssrt,1996,6800,75.87mins,"['they', 'll', 're', 'barking', 'pongo', 'here', 'do', 'there', 'puppies', 'm']"
Fargosrt,1996,8839,94.30mins,"['yeah', 'here', 'm', 'there', 'so', 'they', 'know', 're', 'okay', 'just']"
IndependenceDaysrt,1996,8617,80.58mins,"['re', 'they', 'come', 'are', 'right', 'here', 'got', 'there', 'know', 'do']"
JerryMaguiresrt,1996,11693,133.62mins,"['m', 'know', 'your', 'do', 're', 'with', 'just', 'll', 'love', 'are']"
MissionImpossiblesrt,1996,4924,105.87mins,"['re', 'ethan', 'm', 'll', 'one', 'do', 'know', 'with', 'your', 'at']"
Ransomsrt,1996,13188,110.66mins,"['do', 'right', 'him', 'know', 're', 'now', 'your', 'yeah', 'm', 'uh']"
SecretsLiessrt,1996,14421,139.46mins,"['yeah', 'do', 'your', 'right', 'm', 've', 'know', 'there', 'are', 'd']"
Shinesrt,1996,4934,100.99mins,"['david', 'm', 'very', 'your', 'do', 'are', 'will', 'll', 'daddy', 'play']"
SpaceJamsrt,1996,7501,87.16mins,"['right', 're', 'here', 'go', 'yeah', 'm', 'are', 'come', 'uh', 'let']"
TheEnglishPatientsrt,1996,10505,154.88mins,"['m', 'll', 're', 'your', 'so', 'are', 'know', 'there', 'do', 'with']"
TheHunchbackofNotreDamesrt,1996,8123,87.99mins,"['l', 'there', 're', 'your', 'but', 'are', 'm', 'here', 'will', 'one']"
TheNuttyProfessorsrt,1996,13007,95.00mins,"['l', 'm', 'your', 'sherman', 'so', 'know', 'do', 'with', 'got', 'come']"
TheRocksrt,1996,12524,0.28mins,"['re', 'm', 'your', 'do', 'got', 'they', 'know', 'come', 'here', 'with']"
Twistersrt,1996,9980,105.57mins,"['re', 'right', 'o', 'jo', 'k', 'got', 'go', 'going', 'm', 'bill']"
AirForceOnesrt,1997,8731,112.52mins,"['president', 'one', 'are', 'do', 'they', 're', 'your', 'll', 'air', 'there']"
AsGoodAsItGetssrt,1997,12075,133.49mins,"['m', 'here', 'okay', 'do', 'just', 'your', 'so', 're', 'know', 'come']"
GoodWillHuntingsrt,1997,15494,121.85mins,"['know', 'yeah', 'do', 're', 'your', 'm', 'right', 'with', 'fuckin', 'just']"
LAConfidentialsrt,1997,11170,137.85mins,"['they', 'your', 'll', 're', 'with', 'him', 'do', 'up', 'know', 'got']"
LiarLiarsrt,1997,8557,83.10mins,"['your', 'm', 'do', 'b', 'max', 'mr', 'but', 're', 'are', 'right']"
LifeIsBeautifulsrt,1997,9287,116.08mins,"['ll', 're', 'they', 'here', 'there', 'are', 'go', 'do', 'm', 'with']"
MenInBlacksrt,1997,8419,90.20mins,"['re', 'your', 'here', 'with', 'right', 'know', 'are', 'm', 'do', 'they']"
MyBestFriendsWeddingsrt,1997,8404,100.16mins,"['do', 'm', 'just', 'your', 'so', 'him', 've', 'but', 'love', 'with']"
TheFifthElementsrt,1997,8829,121.22mins,"['your', 're', 'm', 'one', 'll', 'are', 'know', 'here', 'they', 'there']"
TheFullMontysrt,1997,7323,87.89mins,"['re', 'right', 'do', 'your', 'they', 'up', 'there', 'come', 'are', 'yeah']"
TheLostWorldJurassicParksrt,1997,7550,116.43mins,"['there', 're', 'here', 'are', 'your', 'm', 'up', 'they', 'll', 'so']"
Titanicsrt,1997,12444,183.07mins,"['go', 'there', 'come', 're', 'right', 'your', 'back', 'here', 'rose', 'll']"
TomorrowNeverDiessrt,1997,7606,115.00mins,"['your', 'mr', 'bond', 'are', 'carver', 'do', 'with', 'they', 're', 'll']"
ABugsLifesrt,1998,11045,94.79mins,"['m', 'flik', 're', 'go', 'your', 'hey', 'do', 'are', 'up', 'here']"
Armageddonsrt,1998,17943,150.42mins,"['re', 'm', 'right', 'go', 'now', 'here', 'up', 'do', 'know', 'harry']"
DeepImpactsrt,1998,10240,113.23mins,"['now', 're', 'know', 'go', 'are', 'there', 'will', 'm', 'they', 'your']"
DrDolittlesrt,1998,10422,85.32mins,"['l', 'm', 're', 'hey', 'lt', 'here', 'your', 'just', 'are', 'll']"
Elizabethsrt,1998,6100,117.77mins,"['your', 'majesty', 'are', 'do', 'will', 'am', 'madam', 'queen', 'but', 'must']"
Godzillasrt,1998,7732,123.78mins,"['are', 're', 'm', 'do', 'come', 'go', 'they', 'know', 'your', 'right']"
LethalWeapon4srt,1998,10345,115.33mins,"['re', 'm', 'll', 'got', 'him', 'your', 'they', 'do', 'here', 'know']"
Mulansrt,1998,6293,83.93mins,"['your', 're', 'will', 'who', 'll', 'mulan', 'man', 'are', 'm', 'now']"
SavingPrivateRyansrt,1998,10280,161.05mins,"['l', 'got', 'up', 'here', 're', 'right', 'your', 'ryan', 'with', 'know']"
ShakespeareInLovesrt,1998,10349,117.10mins,"['will', 'your', 'love', 'are', 'do', 'by', 'but', 'as', 'at', 'with']"
TheThinRedLinesrt,1998,8644,163.10mins,"['re', 'there', 'up', 'they', 'right', 'm', 'go', 'out', 'now', 'do']"
TheresSomethingAboutMarysrt,1998,14153,124.46mins,"['know', 'yeah', 'm', 'are', 'mary', 'just', 'with', 'hey', 're', 'okay']"
AmericanBeautysrt,1999,9987,112.82mins,"['m', 'just', 're', 'know', 'so', 'your', 'do', 'are', 'want', 've']"
AustinPowerssrt,1999,8120,94.87mins,"['m', 'baby', 'evil', 'yeah', 'your', 'do', 're', 'are', 'austin', 'just']"
NottingHillsrt,1999,12208,118.82mins,"['um', 'm', 'right', 'just', 'uh', 'so', 'but', 'know', 'with', 'there']"
StarWarsEpisodeIThePhantomMenacesrt,1999,10319,129.82mins,"['your', 'will', 'are', 'they', 'there', 'm', 'here', 'with', 'our', 'do']"
Tarzansrt,1999,5975,82.32mins,"['tarzan', 'jane', 'are', 'your', 'there', 'come', 'see', 'him', 'do', 'with']"
TheCiderHouseRulessrt,1999,10583,120.86mins,"['homer', 'do', 'know', 'just', 'here', 're', 'okay', 'm', 'good', 'right']"
TheGreenMilesrt,1999,11302,173.08mins,"['your', 'just', 'm', 'do', 'll', 'him', 'now', 'lt', 'out', 'up']"
TheInsidersrt,1999,14866,151.91mins,"['do', 'are', 'm', 're', 'they', 'with', 'know', 'your', 'wigand', 'about']"
TheMatrixsrt,1999,7899,128.70mins,"['re', 'know', 'are', 'your', 'do', 'they', 'there', 'but', 'neo', 'm']"
TheMummysrt,1999,7345,111.61mins,"['l', 'are', 'lt', 'him', 'here', 'do', 'go', 'your', 'out', 'book']"
TheSixthSensesrt,1999,5701,101.92mins,"['they', 'know', 'do', 're', 'think', 'm', 'your', 'just', 'want', 'cole']"
TheWorldIsNotEnoughsrt,1999,7088,122.58mins,"['your', 'm', 're', 'do', 'but', 'with', 'so', 'aii', 'bond', 'know']"
ToyStory2srt,1999,9235,92.36mins,"['woody', 'buzz', 'go', 're', 'got', 'm', 'andy', 'right', 'hey', 'there']"
CastAwaysrt,2000,4962,135.57mins,"['m', 'wilson', 'here', 're', 'right', 'know', 'so', 'there', 'just', 'do']"
Chocolatsrt,2000,5259,61.25mins,"['l', 'vlanne', 'your', 'do', 'come', 'm', 'so', 'lt', 'are', 'time']"
CrouchingTigerHiddenDragonsrt,2000,6797,114.36mins,"['your', 'with', 'll', 'sword', 'but', 've', 'li', 'are', 're', 'go']"
Dinosaursrt,2000,3539,75.59mins,"['here', 'll', 're', 'hey', 'up', 'come', 'let', 'your', 'there', 'go']"
ErinBrockovichsrt,2000,11613,131.17mins,"['m', 'they', 'do', 're', 'with', 'know', 'about', 'so', 'll', 'your']"
Gladiatorsrt,2000,8136,163.63mins,"['your', 'will', 'they', 'do', 'rome', 'are', 'maximus', 'with', 'father', 'him']"
HowtheGrinchStoleChristmassrt,2000,7210,104.65mins,"['christmas', 'grinch', 'who', 'your', 'with', 'm', 'll', 'but', 'there', 'are']"
MeettheParentssrt,2000,13708,109.03mins,"['your', 'greg', 'm', 'okay', 'yeah', 'just', 're', 'jack', 'so', 'know']"
