File Name,Word Count
Annie Hall.txt,16440
A Bridge Too Far.txt,13635
Midway.txt,14369
The Lost World Jurassic Park.txt,8967
GoldenEye.txt,7313
Theres Something About Mary.txt,16261
Forrest Gump.txt,13665
The Naked Gun The Smell of Fear.txt,8953
A Fish Called Wanda.txt,11171
As Good As It Gets.txt,15116
The Karate Kid Part II.txt,7089
Interview with the Vampire.txt,9402
Network.txt,17238
Sleepless in Seattle.txt,13840
Cliffhanger.txt,8316
The Verdict.txt,13137
Gremlins.txt,6749
Die Hard.txt,11117
Gandhi.txt,15245
Die Hard 2.txt,12609
Top Gun.txt,7579
King Kong.txt,5301
The Last Emperor.txt,8599
Broadcast News.txt,13118
In The Name Of The Father.txt,15112
Look Whos Talking.txt,7993
Back To Part III.txt,10812
Mr Mom.txt,11404
Raiders Of The Lost Ark.txt,6901
An Officer and a Gentleman.txt,11800
Back To The Future Part II.txt,12812
L.A. Confidential.txt,13765
Beauty And The Beast.txt,10103
Mrs Doubtfire.txt,13951
Moonstruck.txt,9408
Cocoon.txt,9845
Coal Miners Daughter.txt,15257
Working Girl.txt,11311
Shampoo.txt,12712
Julia.txt,8385
Silver Streak.txt,11899
Star Trek The Wrath Of Khan.txt,8884
Flashdance.txt,3668
Three Days of the Condor.txt,10758
Cocktail_Eng.txt,9566
Hope And Glory.txt,9636
Oh God.txt,12785
The Insider.txt,18005
Crocodile Dundee II.txt,7152
Rambo.txt,3659
The Dresser.txt,10740
Three Men and a Baby.txt,15191
The Rock.txt,14581
Stakeout.txt,10760
Moonraker.txt,5794
Rambo III.txt,4075
The Deer Hunter.txt,11008
Missing.txt,12542
Beverly Hills Cop.txt,9505
Space Jam.txt,9063
Mississippi Burning.txt,10186
The Secret of My Success.txt,12170
Prizzis Honor.txt,11710
The Postman.txt,8029
Armageddon.txt,21057
Places in the Heart.txt,8539
The Right Stuff.txt,16485
The Enforcer.txt,7603
Splash.txt,10744
Tommy.txt,6944
Bram Stokers Dracula.txt,8531
The Killing Fields.txt,7234
Star Trek The Search For Spock.txt,7180
Risky Business.txt,9387
Dumb And Dumber.txt,10935
Dead Poets Society.txt,12922
Every Which Way But Loose.txt,8340
Notting Hill.txt,12352
Pulp Fiction.txt,21620
Born On The Fourth Of July.txt,8994
Sudden Impact.txt,6217
Star Trek The Motion Picture.txt,7771
Lethal Weapon 4.txt,12482
Alien.txt,7412
For Your Eyes Only.txt,5921
Rocky.txt,10270
Saving Private Ryan.txt,12726
Airplane.txt,8405
Good Will Hunting.txt,17132
Braveheart.txt,9249
Arthur.txt,10940
Atlantic City.txt,10165
Hot Shots.txt,7769
Schindlers List.txt,21074
Twins.txt,11166
Die Hard with a Vengeance.txt,15204
Awakenings.txt,9961
Stir Crazy.txt,8910
The Fifth Element.txt,11701
Casper.txt,9193
Crocodile Dundee.txt,7852
Unforgiven.txt,10316
Staying Alive.txt,5802
JFK.txt,29253
The Little Mermaid.txt,8774
The Green Mile.txt,13888
101 Dalmatians.txt,7614
My Left Foot.txt,7364
Tess.txt,11116
Fatal Attraction.txt,10654
Secrets & Lies.txt,16368
Revenge of the Pink Panther.txt,8914
The Hunchback of Notre Dame.txt,8682
Tender Mercies.txt,9045
Ordinary People.txt,12423
Air Force One.txt,10515
Taxi Driver.txt,11253
Austin Powers.txt,10361
The Other Side of the Mountain.txt,10406
Lethal Weapon 2.txt,10183
Driving Miss Daisy.txt,9446
The Empire Strikes Back.txt,9343
Waynes World.txt,9389
Terminator 2 Judgement Day.txt,7831
The Muppet Movie.txt,11576
Ghostbusters II.txt,15650
Liar Liar.txt,11138
The Godfather Part III.txt,10219
Lethal Weapon 3.txt,14074
Superman.txt,12067
Rocky II.txt,17490
The Deep.txt,7998
The Jerk.txt,11490
Superman II.txt,9591
Shakespeare In Love.txt,11999
